epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2950.01,0.96372,0.81271,0.92909,0.80709,0.84567,0.83458,0.5878,1.05183,0.7503,0.93577,0.0011882,0.0011882,0.0011882
43,3018.59,0.90472,0.76249,0.91257,0.82231,0.84043,0.84161,0.60889,0.9727,0.77836,0.92215,0.0011684,0.0011684,0.0011684
44,3087.6,0.87544,0.72692,0.89338,0.80251,0.82134,0.81448,0.58006,0.9945,0.80444,0.9109,0.0011486,0.0011486,0.0011486
45,3156.85,0.87428,0.72485,0.89062,0.78842,0.84043,0.84686,0.61457,0.94129,0.73556,0.89589,0.0011288,0.0011288,0.0011288
46,3225.53,0.87271,0.71708,0.89495,0.76617,0.87146,0.86009,0.63714,0.90074,0.71043,0.90039,0.001109,0.001109,0.001109
47,3294.41,0.8228,0.67252,0.88904,0.7735,0.8883,0.84826,0.63361,0.94378,0.71567,0.91155,0.0010892,0.0010892,0.0010892
48,3363.95,0.89453,0.73618,0.90151,0.79377,0.85985,0.84132,0.59496,0.974,0.92916,0.90148,0.0010694,0.0010694,0.0010694
49,3433.78,0.88073,0.70449,0.89116,0.8052,0.83511,0.83351,0.6061,0.93244,0.74468,0.9174,0.0010496,0.0010496,0.0010496
50,3502.73,0.86509,0.6915,0.88584,0.825,0.81915,0.84637,0.62354,0.92241,0.69129,0.89913,0.0010298,0.0010298,0.0010298
51,3570.74,0.86467,0.68341,0.8863,0.79139,0.84574,0.84469,0.59542,1.01334,0.76361,0.9106,0.00101,0.00101,0.00101
52,3639.82,0.87262,0.68665,0.89011,0.79603,0.83035,0.83013,0.60645,0.95688,0.75297,0.90198,0.0009902,0.0009902,0.0009902
53,3709.3,0.81048,0.64002,0.87802,0.74995,0.85638,0.82873,0.60237,0.95856,0.80373,0.91718,0.0009704,0.0009704,0.0009704
54,3778.22,0.8351,0.66011,0.87842,0.78125,0.87385,0.83744,0.6077,0.94301,0.7321,0.91114,0.0009506,0.0009506,0.0009506
55,3847.13,0.83681,0.68163,0.88942,0.78234,0.8617,0.85044,0.63303,0.94203,0.82436,0.90489,0.0009308,0.0009308,0.0009308
56,3916.14,0.85767,0.68775,0.89227,0.78953,0.79787,0.81804,0.6219,0.90581,0.75791,0.89095,0.000911,0.000911,0.000911
57,3985.04,0.83916,0.66648,0.87554,0.80683,0.84043,0.83804,0.61263,0.94981,0.78732,0.89167,0.0008912,0.0008912,0.0008912
58,4053.76,0.811,0.64752,0.88491,0.79097,0.82523,0.84019,0.6065,0.96674,0.74899,0.90318,0.0008714,0.0008714,0.0008714
59,4122.26,0.82999,0.67576,0.8849,0.81216,0.82447,0.83538,0.59319,1.0074,0.75937,0.89073,0.0008516,0.0008516,0.0008516
60,4191.51,0.81003,0.65669,0.87783,0.77005,0.87234,0.84936,0.61127,0.94777,0.78037,0.91306,0.0008318,0.0008318,0.0008318
61,4260.3,0.80553,0.64952,0.87176,0.82917,0.82618,0.85665,0.63971,0.92483,0.74484,0.89401,0.000812,0.000812,0.000812
62,4335.42,0.81815,0.65937,0.87903,0.71061,0.85638,0.79625,0.57692,0.90378,0.81277,0.88792,0.0007922,0.0007922,0.0007922
63,4413.74,0.80298,0.64085,0.8805,0.81793,0.84043,0.85185,0.63631,0.9122,0.65153,0.90573,0.0007724,0.0007724,0.0007724
64,4494.62,0.83302,0.6628,0.88873,0.69696,0.8883,0.79589,0.57685,0.92753,0.79534,0.91195,0.0007526,0.0007526,0.0007526
65,4572.63,0.78993,0.62758,0.86545,0.83954,0.80851,0.83998,0.62335,0.89192,0.70148,0.88137,0.0007328,0.0007328,0.0007328
66,4646.91,0.81371,0.63487,0.87848,0.7774,0.83597,0.79298,0.55716,0.9766,0.77599,0.90147,0.000713,0.000713,0.000713
67,4715.52,0.77421,0.61938,0.868,0.77867,0.8234,0.83822,0.60569,0.99109,0.79694,0.92126,0.0006932,0.0006932,0.0006932
68,4785,0.80277,0.61619,0.86911,0.80596,0.81383,0.83025,0.61981,0.92115,0.71467,0.90628,0.0006734,0.0006734,0.0006734
69,4854.39,0.7755,0.60163,0.86983,0.80397,0.79787,0.81756,0.60701,0.91784,0.73093,0.88711,0.0006536,0.0006536,0.0006536
70,4923.9,0.74203,0.58884,0.85338,0.77013,0.79787,0.7922,0.57924,0.90144,0.84759,0.89188,0.0006338,0.0006338,0.0006338
71,4993.4,0.76645,0.61086,0.8669,0.80177,0.80319,0.8296,0.60924,0.92018,0.77709,0.91613,0.000614,0.000614,0.000614
72,5062.61,0.76905,0.6005,0.86137,0.78794,0.82979,0.82744,0.61182,0.92739,0.77469,0.90973,0.0005942,0.0005942,0.0005942
73,5130.98,0.77644,0.59858,0.86809,0.77215,0.84043,0.82981,0.59338,0.94125,0.70627,0.92021,0.0005744,0.0005744,0.0005744
74,5199.5,0.79257,0.6045,0.8563,0.78146,0.87766,0.83812,0.61927,0.93937,0.7255,0.90664,0.0005546,0.0005546,0.0005546
75,5268.36,0.76317,0.6016,0.86674,0.78117,0.83549,0.81818,0.61168,0.92559,0.77407,0.89544,0.0005348,0.0005348,0.0005348
76,5338.97,0.7358,0.5641,0.8597,0.78513,0.84043,0.81328,0.59267,0.9359,0.746,0.91274,0.000515,0.000515,0.000515
77,5407.99,0.74307,0.58014,0.85505,0.77173,0.85638,0.80894,0.58696,0.93253,0.74965,0.9038,0.0004952,0.0004952,0.0004952
78,5477.76,0.72669,0.55859,0.85206,0.77305,0.85638,0.81408,0.60478,0.89253,0.7331,0.90123,0.0004754,0.0004754,0.0004754
79,5546.96,0.7665,0.5815,0.86769,0.7655,0.86819,0.82721,0.60639,0.92813,0.70736,0.91701,0.0004556,0.0004556,0.0004556
80,5617.19,0.75029,0.56906,0.86108,0.72756,0.91489,0.83427,0.59453,0.92928,0.67837,0.92686,0.0004358,0.0004358,0.0004358
81,5686.88,0.75361,0.57712,0.86047,0.76556,0.8883,0.83285,0.6218,0.8562,0.70718,0.90017,0.000416,0.000416,0.000416
