epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,491.734,1.10856,1.75708,0.00552,0.75464,0.72444,0.84383,0.60701,1.13509,4.34698,0.01105,0.0017294,0.0017294,0.0017294
43,503.388,1.18523,1.99318,0.0052,0.7605,0.93422,0.88204,0.67466,0.97311,3.97489,0.00884,0.0017228,0.0017228,0.0017228
44,517.001,0.94591,1.7819,0.00539,0.82508,0.88235,0.91005,0.69556,0.98498,3.70363,0.00948,0.0017162,0.0017162,0.0017162
45,528.372,1.08591,1.79036,0.00653,0.82508,0.88235,0.91005,0.69556,0.98498,3.70363,0.00948,0.0017096,0.0017096,0.0017096
46,539.262,1.15637,1.60073,0.00586,0.75573,0.82353,0.88201,0.61128,1.29021,3.91287,0.01342,0.001703,0.001703,0.001703
47,550.676,1.23679,1.56629,0.00515,1,0.70515,0.92162,0.62963,1.28042,3.62145,0.01386,0.0016964,0.0016964,0.0016964
48,561.525,1.0192,1.74382,0.00536,0.88561,0.91165,0.96042,0.74183,0.88852,3.23822,0.00911,0.0016898,0.0016898,0.0016898
49,572.765,1.00013,1.57382,0.00501,0.88561,0.91165,0.96042,0.74183,0.88852,3.23822,0.00911,0.0016832,0.0016832,0.0016832
50,586.082,1.07919,1.56581,0.00541,0.92432,0.94118,0.9698,0.75576,0.87375,3.09161,0.00855,0.0016766,0.0016766,0.0016766
51,601.044,1.01347,1.48785,0.00551,0.98183,0.88235,0.96723,0.70038,1.03421,3.08715,0.01068,0.00167,0.00167,0.00167
52,613.426,1.17942,1.44937,0.00414,1,0.94074,0.96625,0.65988,1.1345,3.04882,0.01271,0.0016634,0.0016634,0.0016634
53,625.574,1.07368,1.7359,0.00749,1,0.94074,0.96625,0.65988,1.1345,3.04882,0.01271,0.0016568,0.0016568,0.0016568
54,637.144,1.12035,1.39269,0.00572,0.94058,0.93168,0.95449,0.60984,1.29545,3.02608,0.01464,0.0016502,0.0016502,0.0016502
55,648.786,1.11994,1.56146,0.00541,0.83625,0.94118,0.95595,0.62195,1.37482,2.98452,0.01436,0.0016436,0.0016436,0.0016436
56,660.18,0.89968,1.32991,0.00529,0.93581,0.88235,0.96238,0.64773,1.34108,2.86365,0.01315,0.001637,0.001637,0.001637
57,671.833,0.98237,1.39694,0.0046,0.93581,0.88235,0.96238,0.64773,1.34108,2.86365,0.01315,0.0016304,0.0016304,0.0016304
58,683.432,1.06933,1.35678,0.00583,0.92911,0.88235,0.96873,0.59092,1.59958,2.95057,0.01566,0.0016238,0.0016238,0.0016238
59,695.843,0.92659,1.35254,0.00489,0.98525,0.88235,0.97529,0.57512,1.69089,2.89939,0.01763,0.0016172,0.0016172,0.0016172
60,707.81,1.03359,1.43063,0.00553,0.93656,0.86902,0.96873,0.63829,1.24405,2.69496,0.01275,0.0016106,0.0016106,0.0016106
61,719.445,1.09999,1.46461,0.00552,0.93656,0.86902,0.96873,0.63829,1.24405,2.69496,0.01275,0.001604,0.001604,0.001604
62,730.73,0.85254,1.42196,0.00597,0.99164,0.82353,0.96238,0.68731,1.05936,2.54994,0.01106,0.0015974,0.0015974,0.0015974
63,741.58,0.99634,1.29279,0.0052,0.9374,0.88097,0.97322,0.8099,0.71335,2.33823,0.0072,0.0015908,0.0015908,0.0015908
64,752.357,0.93149,1.47821,0.00523,0.8935,0.98754,0.95986,0.81178,0.67586,2.36309,0.00631,0.0015842,0.0015842,0.0015842
65,763.314,1.04754,1.35074,0.00611,0.8935,0.98754,0.95986,0.81178,0.67586,2.36309,0.00631,0.0015776,0.0015776,0.0015776
66,773.885,1.01255,1.32334,0.00525,0.76182,0.94076,0.92882,0.76092,0.73236,2.33443,0.00654,0.001571,0.001571,0.001571
67,784.532,1.04897,1.39372,0.00515,0.88468,1,0.97217,0.72955,0.99707,2.19101,0.01023,0.0015644,0.0015644,0.0015644
68,795.408,1.03542,1.22889,0.0054,0.88397,1,0.97711,0.73033,0.96696,2.11898,0.01049,0.0015578,0.0015578,0.0015578
69,806.19,1.10863,1.30038,0.0053,0.88397,1,0.97711,0.73033,0.96696,2.11898,0.01049,0.0015512,0.0015512,0.0015512
70,816.772,0.95228,1.35232,0.0048,0.97392,0.82353,0.96894,0.72188,0.98684,2.1111,0.01092,0.0015446,0.0015446,0.0015446
71,827.394,1.00135,1.22415,0.00506,0.95105,0.82353,0.9703,0.7328,0.95693,2.10528,0.01038,0.001538,0.001538,0.001538
72,838.134,1.09786,1.39508,0.00459,0.89335,0.82353,0.94699,0.75002,0.81298,2.00282,0.00865,0.0015314,0.0015314,0.0015314
73,848.846,0.96778,1.12285,0.00479,0.89335,0.82353,0.94699,0.75002,0.81298,2.00282,0.00865,0.0015248,0.0015248,0.0015248
74,859.531,1.02408,1.13028,0.0057,0.85958,0.82353,0.93078,0.7697,0.63133,1.90626,0.00665,0.0015182,0.0015182,0.0015182
75,870.227,0.77495,0.90313,0.00435,0.88231,0.88204,0.93889,0.76214,0.79849,1.87435,0.0082,0.0015116,0.0015116,0.0015116
76,880.918,1.06839,1.11467,0.00409,1,0.85675,0.95697,0.759,0.94996,1.8369,0.00885,0.001505,0.001505,0.001505
77,891.416,0.9137,1.13224,0.0058,1,0.85675,0.95697,0.759,0.94996,1.8369,0.00885,0.0014984,0.0014984,0.0014984
78,902.25,0.96525,1.01749,0.00482,0.93672,0.87127,0.95758,0.78021,0.80797,1.7541,0.00716,0.0014918,0.0014918,0.0014918
79,912.934,0.96342,1.11719,0.00491,0.98028,0.82353,0.95569,0.8322,0.70059,1.69616,0.00644,0.0014852,0.0014852,0.0014852
80,923.548,0.94654,1.03667,0.00518,0.77026,0.98659,0.95323,0.82231,0.68133,1.65682,0.0062,0.0014786,0.0014786,0.0014786
81,934.504,0.8959,0.93651,0.0047,0.77026,0.98659,0.95323,0.82231,0.68133,1.65682,0.0062,0.001472,0.001472,0.001472
82,945.336,1.01423,1.13322,0.00537,0.846,0.97023,0.9525,0.79862,0.73918,1.69134,0.00681,0.0014654,0.0014654,0.0014654
83,955.888,0.92597,1.04918,0.00433,1,0.74005,0.93879,0.76754,0.85771,1.74025,0.00829,0.0014588,0.0014588,0.0014588
84,966.571,0.93069,0.999,0.0047,0.80709,0.94118,0.94925,0.81017,0.71743,1.65754,0.0067,0.0014522,0.0014522,0.0014522
85,977.085,0.92848,1.09941,0.00497,0.80709,0.94118,0.94925,0.81017,0.71743,1.65754,0.0067,0.0014456,0.0014456,0.0014456
86,988.261,0.84581,1.01922,0.00495,0.83937,0.92281,0.94947,0.83571,0.598,1.58086,0.00514,0.001439,0.001439,0.001439
87,998.858,0.947,1.05471,0.0043,0.73909,1,0.92759,0.7618,0.78286,1.64877,0.00689,0.0014324,0.0014324,0.0014324
